player_id,player_name,team_name,minutes,goals,assists,key_passes,shots,xg,xg_per_90
132728,Jewison Bennette,Costa Rica,119.0,0,0,0,1,0.04,0.03
3063,Danilo Luiz da Silva,Brazil,373.0,0,0,0,2,0.03,0.01
3512,Marko Grujić,Serbia,18.0,0,0,0,1,0.03,0.15
3517,Aaron Ramsey,Wales,281.0,0,0,1,1,0.03,0.01
3913,Edimilson Fernandes,Switzerland,165.0,0,0,3,1,0.03,0.02
5642,Axel Witsel,Belgium,284.0,0,0,1,1,0.03,0.01
6318,Andrija Živković,Serbia,212.0,0,2,2,1,0.03,0.01
7993,Filip Mladenović,Serbia,65.0,0,0,0,1,0.03,0.04
8859,Ajdin Hrustic,Australia,81.0,0,0,0,1,0.03,0.03
10530,Jules Olivier Ntcham,Cameroon,33.0,0,0,1,1,0.03,0.08
12493,Krzysztof Piątek,Poland,40.0,0,0,0,1,0.03,0.07
22067,Woo-Yeong Jeong,South Korea,45.0,0,0,0,1,0.03,0.06
28453,Michał Skóraś,Poland,51.0,0,0,0,1,0.03,0.05
29006,Noah Okafor,Switzerland,58.0,0,0,1,1,0.03,0.05
31029,Salis Abdul Samed,Ghana,265.0,0,0,1,1,0.03,0.01
31751,Pathé Ismaël Ciss,Senegal,151.0,0,0,0,1,0.03,0.02
36148,José Adoni Cifuentes Charcopa,Ecuador,71.0,0,0,0,1,0.03,0.04
40211,Jeremy Leonel Sarmiento Morante,Ecuador,103.0,0,0,2,1,0.03,0.03
40784,Akram Hassan Afif,Qatar,287.0,0,0,5,2,0.03,0.01
82257,Rubin Colwill,Wales,14.0,0,0,0,1,0.03,0.19
3404,Youssouf Sabaly,Senegal,387.0,0,0,8,2,0.02,0.0
3570,Pierre-Emile Højbjerg,Denmark,291.0,0,0,1,2,0.02,0.01
3637,Grzegorz Krychowiak,Poland,348.0,0,0,2,1,0.02,0.01
4734,Matty Cash,Poland,390.0,0,0,2,1,0.02,0.0
5234,Sofyan Amrabat,Morocco,737.0,0,0,2,1,0.02,0.0
5623,Jae-Sung Lee,South Korea,212.0,0,0,2,1,0.02,0.01
5650,Ferjani Sassi,Tunisia,61.0,0,0,0,1,0.02,0.03
6840,Marcos Llorente Moreno,Spain,126.0,0,0,0,1,0.02,0.01
6945,Alex Sandro Lobo Silva,Brazil,203.0,0,0,1,1,0.02,0.01
7006,Alejandro Darío Gómez,Argentina,107.0,0,0,0,2,0.02,0.02
7145,Darko Lazović,Serbia,32.0,0,0,0,1,0.02,0.06
11127,Borna Barišić,Croatia,125.0,0,0,0,1,0.02,0.01
12169,João Maria Lobo Alves Palhinha Gonçalves,Portugal,63.0,0,0,2,1,0.02,0.03
12751,Tyler Adams,United States,391.0,0,0,2,1,0.02,0.0
28263,Gonzalo Ariel Montiel,Argentina,152.0,0,0,3,1,0.02,0.01
45047,Alidu Seidu,Ghana,165.0,0,0,0,1,0.02,0.01
124488,Hassan Khalid Al Heidos,Qatar,209.0,0,0,2,1,0.02,0.01
124514,Abdulaziz Hatem Mohammed Abdullah,Qatar,208.0,0,0,1,1,0.02,0.01
3621,Eden Hazard,Belgium,129.0,0,0,1,1,0.01,0.01
3639,Georges-Kévin Nkoudou Mbida,Cameroon,39.0,0,0,0,1,0.01,0.02
4934,Ethan Ampadu,Wales,265.0,0,0,2,1,0.01,0.0
5567,Edson Omar Álvarez Velázquez,Mexico,183.0,0,0,1,1,0.01,0.0
5591,Filip Kostić,Serbia,191.0,0,0,1,1,0.01,0.0
5600,Francisco Javier Calvo Quesada,Costa Rica,194.0,0,0,0,1,0.01,0.0
5618,Woo-Young Jung,South Korea,318.0,0,0,2,1,0.01,0.0
6765,Rodrigo Hernández Cascante,Spain,417.0,0,0,4,1,0.01,0.0
16308,Leandro Daniel Paredes,Argentina,244.0,0,0,2,1,0.01,0.0
16346,Ngoran Suiru Fai Collins,Cameroon,291.0,0,0,2,1,0.01,0.0
26406,Jorge Eduardo Sánchez Ramos,Mexico,183.0,0,0,0,1,0.01,0.0
32450,Montassar Omar Talbi,Tunisia,297.0,0,0,0,1,0.01,0.0
32915,Ismail Jakobs,Senegal,297.0,0,1,4,1,0.01,0.0
40564,Kyung-Won Kwon,South Korea,106.0,0,0,0,1,0.01,0.01
40874,Matheus Luiz Nunes,Portugal,83.0,0,0,0,1,0.01,0.01
51710,Saud Abdullah Abdul Hamid,Saudi Arabia,299.0,0,0,2,1,0.01,0.0
128793,Taha Yassine Khenissi,Tunisia,41.0,0,0,1,1,0.01,0.02
132497,Gerson Torres Barrantes,Costa Rica,64.0,0,0,0,1,0.01,0.01
2954,Youri Tielemans,Belgium,103.0,0,0,1,0,0.0,0.0
2989,Alexander Djiku,Ghana,111.0,0,0,0,0,0.0,0.0
3067,Ederson Santana de Moraes,Brazil,100.0,0,0,0,0,0.0,0.0
3099,Hugo Lloris,France,616.0,0,0,0,0,0.0,0.0
3135,Chang-Hoon Kwon,South Korea,56.0,0,0,1,0,0.0,0.0
3205,Kyle Walker,England,252.0,0,0,0,0,0.0,0.0
